,Ticker,Price
2022-09-15,MCD,253.47000122070312
2022-09-16,MCD,254.91000366210938
2022-09-19,MCD,257.010009765625
2022-09-20,MCD,255.39999389648438
2022-09-21,MCD,251.0800018310547
2022-09-22,MCD,247.94000244140625
2022-09-23,MCD,245.9499969482422
2022-09-26,MCD,243.75999450683594
2022-09-27,MCD,236.6999969482422
2022-09-28,MCD,236.94000244140625
2022-09-29,MCD,234.39999389648438
2022-09-30,MCD,230.74000549316406
2022-10-03,MCD,235.33999633789062
2022-10-04,MCD,238.5
2022-10-05,MCD,239.08999633789062
2022-10-06,MCD,234.75
2022-10-07,MCD,233.19000244140625
2022-10-10,MCD,234.9499969482422
2022-10-11,MCD,237.0500030517578
2022-10-12,MCD,237.05999755859375
2022-10-13,MCD,246.75
2022-10-14,MCD,243.16000366210938
2022-10-17,MCD,246.47999572753906
2022-10-18,MCD,249.19000244140625
2022-10-19,MCD,250.75
2022-10-20,MCD,249.77000427246094
2022-10-21,MCD,254.5500030517578
2022-10-24,MCD,255.32000732421875
2022-10-25,MCD,255.72999572753906
2022-10-26,MCD,256.6099853515625
2022-10-27,MCD,265.1099853515625
2022-10-28,MCD,274.5199890136719
2022-10-31,MCD,272.6600036621094
2022-11-01,MCD,272.95001220703125
2022-11-02,MCD,270.3699951171875
2022-11-03,MCD,272.95001220703125
2022-11-04,MCD,274.6199951171875
2022-11-07,MCD,276.4100036621094
2022-11-08,MCD,278.3999938964844
2022-11-09,MCD,277.7900085449219
2022-11-10,MCD,275.8800048828125
2022-11-11,MCD,271.3900146484375
2022-11-14,MCD,272.2699890136719
2022-11-15,MCD,267.8399963378906
2022-11-16,MCD,272.510009765625
2022-11-17,MCD,273.3599853515625
2022-11-18,MCD,273.3699951171875
2022-11-21,MCD,274.5199890136719
2022-11-22,MCD,274.760009765625
2022-11-23,MCD,273.2699890136719
2022-11-25,MCD,275.0
2022-11-28,MCD,272.8800048828125
2022-11-29,MCD,271.4100036621094
2022-11-30,MCD,272.7900085449219
2022-12-01,MCD,273.3999938964844
2022-12-02,MCD,273.3999938964844
2022-12-05,MCD,271.5899963378906
2022-12-06,MCD,271.7699890136719
2022-12-07,MCD,270.3399963378906
2022-12-08,MCD,273.3900146484375
2022-12-09,MCD,272.0400085449219
2022-12-12,MCD,276.6199951171875
2022-12-13,MCD,274.2799987792969
2022-12-14,MCD,274.5299987792969
2022-12-15,MCD,271.7300109863281
2022-12-16,MCD,266.1199951171875
2022-12-19,MCD,265.8299865722656
2022-12-20,MCD,267.25
2022-12-21,MCD,268.1600036621094
2022-12-22,MCD,265.7699890136719
2022-12-23,MCD,267.57000732421875
2022-12-27,MCD,266.8399963378906
2022-12-28,MCD,265.1099853515625
2022-12-29,MCD,265.92999267578125
2022-12-30,MCD,263.5299987792969
2023-01-03,MCD,264.3299865722656
2023-01-04,MCD,264.3900146484375
2023-01-05,MCD,262.1600036621094
2023-01-06,MCD,269.4700012207031
2023-01-09,MCD,267.25
2023-01-10,MCD,268.9100036621094
2023-01-11,MCD,268.80999755859375
2023-01-12,MCD,266.69000244140625
2023-01-13,MCD,268.8900146484375
2023-01-17,MCD,274.1099853515625
2023-01-18,MCD,266.0400085449219
2023-01-19,MCD,263.5799865722656
2023-01-20,MCD,268.5799865722656
2023-01-23,MCD,269.2900085449219
2023-01-24,MCD,269.55999755859375
2023-01-25,MCD,273.0
2023-01-26,MCD,274.7200012207031
2023-01-27,MCD,272.4599914550781
2023-01-30,MCD,270.8900146484375
2023-01-31,MCD,267.3999938964844
2023-02-01,MCD,266.2699890136719
2023-02-02,MCD,263.2099914550781
2023-02-03,MCD,264.2300109863281
2023-02-06,MCD,267.9200134277344
2023-02-07,MCD,267.3399963378906
2023-02-08,MCD,262.82000732421875
2023-02-09,MCD,260.6600036621094
2023-02-10,MCD,262.4200134277344
2023-02-13,MCD,266.20001220703125
2023-02-14,MCD,266.6099853515625
2023-02-15,MCD,266.55999755859375
2023-02-16,MCD,265.8299865722656
2023-02-17,MCD,269.989990234375
2023-02-21,MCD,268.54998779296875
2023-02-22,MCD,268.6400146484375
2023-02-23,MCD,266.7799987792969
2023-02-24,MCD,263.67999267578125
2023-02-27,MCD,264.7799987792969
2023-02-28,MCD,263.9100036621094
2023-03-01,MCD,262.7200012207031
2023-03-02,MCD,267.57000732421875
